Boundarynumber	Year	Dayofyear	Hour	Minute	Second	Orbitnumber	XMSO(km)	YMSO(km)	ZMSO(km)
2.0	2011.0	98.0	15.0	26.0	56.6	43.0	4083.199	-868.575	2266.751
3.0	2011.0	98.0	15.0	35.0	47.1	43.0	2746.029	-427.377	2778.639
4.0	2011.0	98.0	15.0	37.0	2.5	43.0	2535.054	-361.053	2832.344
5.0	2011.0	98.0	16.0	44.0	23.9	43.0	-4182.155	574.745	-4938.278
6.0	2011.0	98.0	16.0	44.0	56.8	43.0	-4175.778	564.248	-5007.911
7.0	2011.0	98.0	17.0	27.0	20.3	43.0	-3019.231	-304.17	-9314.386
8.0	2011.0	98.0	17.0	28.0	21.9	43.0	-2981.343	-325.52	-9398.115
1.0	2011.0	99.0	3.0	28.0	40.7	44.0	4401.225	-1127.102	2084.983
2.0	2011.0	99.0	3.0	29.0	44.2	44.0	4265.361	-1074.856	2159.467
3.0	2011.0	99.0	3.0	40.0	31.1	44.0	2671.314	-490.737	2796.883
4.0	2011.0	99.0	3.0	41.0	22.6	44.0	2526.039	-440.134	2833.542
5.0	2011.0	99.0	4.0	51.0	51.1	44.0	-4129.019	645.219	-5316.675
6.0	2011.0	99.0	4.0	57.0	19.6	44.0	-4037.219	533.621	-5969.699
7.0	2011.0	99.0	5.0	35.0	49.4	44.0	-2885.171	-298.429	-9638.354
8.0	2011.0	99.0	6.0	3.0	14.4	44.0	-1812.377	-883.462	-11529.105
1.0	2011.0	99.0	15.0	36.0	48.0	45.0	3870.628	-1055.42	2345.157
2.0	2011.0	99.0	15.0	38.0	31.0	45.0	3630.477	-957.35	2455.134
3.0	2011.0	99.0	15.0	44.0	46.0	45.0	2674.311	-579.212	2793.569
4.0	2011.0	99.0	15.0	46.0	42.0	45.0	2351.064	-455.849	2872.067
5.0	2011.0	99.0	16.0	55.0	33.6	45.0	-4120.643	786.305	-5230.607
6.0	2011.0	99.0	17.0	2.0	44.8	45.0	-4004.419	636.345	-6084.586
7.0	2011.0	99.0	17.0	33.0	9.2	45.0	-3148.341	-47.318	-9063.878
8.0	2011.0	99.0	17.0	33.0	16.8	45.0	-3143.761	-50.372	-9075.048
1.0	2011.0	100.0	3.0	38.0	58.6	46.0	4125.381	-1301.579	2199.31
2.0	2011.0	100.0	3.0	39.0	18.9	46.0	4082.212	-1282.021	2222.363
3.0	2011.0	100.0	3.0	53.0	44.8	46.0	1871.354	-336.608	2955.126
4.0	2011.0	100.0	3.0	58.0	14.6	46.0	1038.111	-9.624	2999.734
5.0	2011.0	100.0	5.0	0.0	4.6	46.0	-4097.794	909.286	-5243.479
6.0	2011.0	100.0	5.0	1.0	22.3	46.0	-4081.396	882.613	-5400.817
7.0	2011.0	100.0	5.0	39.0	34.5	46.0	-3085.861	0.616	-9229.74
8.0	2011.0	100.0	5.0	45.0	20.1	46.0	-2884.854	-137.492	-9691.008
1.0	2011.0	100.0	15.0	42.0	40.2	47.0	4170.372	-1466.195	2153.38
2.0	2011.0	100.0	15.0	43.0	5.3	47.0	4117.925	-1440.403	2182.594
3.0	2011.0	100.0	15.0	53.0	43.6	47.0	2597.027	-720.745	2807.278
4.0	2011.0	100.0	15.0	55.0	44.2	47.0	2269.187	-572.729	2886.263
5.0	2011.0	100.0	17.0	2.0	52.3	47.0	-4089.902	1066.037	-5041.047
6.0	2011.0	100.0	17.0	3.0	53.7	47.0	-4079.329	1044.668	-5170.189
7.0	2011.0	100.0	17.0	52.0	53.8	47.0	-2782.327	-129.364	-9932.514
8.0	2011.0	100.0	17.0	57.0	59.8	47.0	-2599.168	-256.649	-10308.354
1.0	2011.0	101.0	3.0	46.0	23.8	48.0	4202.313	-1629.482	2110.201
2.0	2011.0	101.0	3.0	46.0	25.0	48.0	4200.284	-1628.403	2111.389
3.0	2011.0	101.0	4.0	1.0	9.3	48.0	2075.74	-554.451	2922.318
4.0	2011.0	101.0	4.0	1.0	18.9	48.0	2047.569	-540.959	2927.312
5.0	2011.0	101.0	5.0	16.0	16.8	48.0	-3938.63	988.5	-6118.889
6.0	2011.0	101.0	5.0	21.0	30.4	48.0	-3837.231	865.283	-6696.499
7.0	2011.0	101.0	5.0	51.0	20.7	48.0	-2993.07	108.676	-9469.33
8.0	2011.0	101.0	6.0	4.0	33.4	48.0	-2534.56	-234.619	-10460.494
1.0	2011.0	101.0	15.0	47.0	9.5	49.0	4568.25	-1990.547	1846.1
2.0	2011.0	101.0	15.0	51.0	13.9	49.0	4095.946	-1718.947	2145.046
3.0	2011.0	101.0	15.0	59.0	16.3	49.0	3030.489	-1127.898	2653.668
4.0	2011.0	101.0	16.0	1.0	21.0	49.0	2721.078	-961.736	2759.635
5.0	2011.0	101.0	17.0	23.0	1.8	49.0	-3870.572	1048.096	-6382.568
6.0	2011.0	101.0	17.0	23.0	12.1	49.0	-3867.471	1044.07	-6401.051
7.0	2011.0	101.0	17.0	56.0	59.4	49.0	-2953.601	163.865	-9566.624
8.0	2011.0	101.0	18.0	8.0	18.5	49.0	-2568.799	-141.9	-10413.89
1.0	2011.0	102.0	3.0	52.0	26.9	50.0	4405.416	-2057.598	1917.787
2.0	2011.0	102.0	3.0	54.0	0.8	50.0	4228.64	-1948.777	2033.172
3.0	2011.0	102.0	4.0	4.0	59.1	50.0	2800.061	-1101.265	2725.458
4.0	2011.0	102.0	4.0	7.0	46.8	50.0	2374.903	-859.731	2851.475
5.0	2011.0	102.0	5.0	26.0	45.5	50.0	-3854.618	1177.398	-6306.346
6.0	2011.0	102.0	5.0	31.0	38.0	50.0	-3761.917	1055.221	-6838.334
7.0	2011.0	102.0	6.0	17.0	46.1	50.0	-2401.842	-208.529	-10764.443
8.0	2011.0	102.0	6.0	18.0	34.5	50.0	-2373.807	-230.923	-10818.34
1.0	2011.0	102.0	15.0	55.0	54.0	51.0	4442.387	-2247.111	1850.768
2.0	2011.0	102.0	15.0	59.0	10.1	51.0	4080.882	-2009.908	2091.481
